7:17,654,84,302,58,354,616,8,29,162
18:18,17123,14035,20581,35030,27705,20547,5888,7905,16401
19:20
36:302,17,245,508,899,48,364,1119,1187,1405
37:245,518,131,1405,94,2955,4268,119,2302,3233
41:8,518,84,17,1102,656,999,70,103,289
42:8,616,1471,656,17,101,5927,167,518,9885
43:17,70,58,76,302,3,6,8,826,361
44:17,654,58,302,616,650,29,162,224,238
45:46,347,16995,670,2081,54551,38891,68416,14993,32098
46:17,654,518,84,899,1119,70,1187,32,48
59:17,1405,518,65,302,327,8,1023,656,364
60:17,654,302,58,61,62,301,354,239,363
69:17,616,518,8,542,15,245,84,1405,103
70:17,224,347,361,866,891,1119,1121,71,1546
94:245,518,103,8,17,61,542,15,4268,131
106:17,654,302,616,58,542,564,76,650,861
115:17,616,654,302,84,542,76,564,650,508
116:81,168,1460,117,311,521,535,2139,2068,2582
142:17,302,654,616,542,518,15,564,70,650
143:21533,89881,139,22528,1196,1549,17,32,554,564
148:81,226,508,780,17,1535,140,262,1126,1749
150:17,616,58,302,654,6,8,29,76,15
156:17,518,15,654,1405,167,5927,54,12442,544
161:17,8,518,302,654,58,1102,61,84,354
171:17,58,616,654,29,542,285,94,302,394
172:17,616,302,15,29,650,6,1196,58,62
174:3,6,8199,8,4106,11,14349,29357,17,24579
177:302,17,162,787,654,45,58,495,616,633
196:17,302,654,58,616,8,84,518,6,15
202:17,616,654,564,70,81,84,508,650,61
211:24775,46776,8075,34814,206,16468,1077,13108,27638,9069
217:61,17,1009,2193,1039,518,1412,2597,12442,179
220:3378,32261,36743,40483,11408,216,39446,64973,2097,22713
223:17,15,542,616,32,61,654,302,58,101
224:122880,3,6,8,11,24588,8205,15,16,17
225:17,302,616,245,654,8,58,15,518,542
228:17,62,356,866,58,302,8,15,29,32
229:17,302,654,616,8,58,542,29,76,650
231:17,302,6,8,15,29,32,58,508,1023
232:228,87404,48256,102080,60930,24068,113712,58761,77322,103819
238:1002,13,3506,16036,508,1340,4696,18783,1065,1875
241:17,302,654,8,101,238,62,162,508,114
245:3,8,10,38924,15,17,16404,40985,71343,6172
249:17,245,131,354,302,361,1744,518,616,654
250:17,15,32,61,76,364,508,650,1196,114
253:1352,4755,10041,1712,2880,238,429,12990,1528,1709
257:17,616,58,302,654,650,8,76,518,564
272:17,84,302,3,2668,6068,265,654,10611,6
273:616,8,58,84,518,542,564,29,6,285
288:17,302,654,8,616,542,518,564,32,58
290:70,508,521,1023,1462,1537,2121,3599,6472,26054
291:8,282,6700,8213,46026,10511,15989,16852,52470,28011
292:17,302,8,84,518,58,616,654,29,6
294:17,58,616,654,302,518,8,84,245,15
